"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
1,FALSE,NA,NA,NA,NA,NA,NA
2,FALSE,NA,NA,NA,NA,NA,NA
3,FALSE,NA,NA,NA,NA,NA,NA
4,FALSE,NA,NA,NA,NA,NA,NA
5,FALSE,NA,NA,NA,NA,NA,NA
6,FALSE,NA,NA,NA,NA,NA,NA
7,FALSE,NA,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA,NA
9,FALSE,NA,NA,NA,NA,NA,NA
10,FALSE,NA,NA,NA,NA,NA,NA
11,TRUE,NA,NA,NA,NA,NA,NA
12,TRUE,NA,NA,NA,NA,NA,NA
13,TRUE,NA,NA,NA,NA,NA,NA
14,TRUE,NA,NA,NA,NA,NA,NA
15,TRUE,NA,NA,NA,NA,NA,NA
16,TRUE,NA,NA,NA,NA,NA,NA
17,TRUE,NA,NA,NA,NA,NA,NA
18,TRUE,NA,NA,NA,NA,NA,NA
19,TRUE,NA,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA,NA
21,FALSE,NA,NA,NA,NA,NA,NA
22,FALSE,NA,NA,NA,NA,NA,NA
23,FALSE,NA,NA,NA,NA,NA,NA
24,FALSE,NA,NA,NA,NA,NA,NA
25,FALSE,NA,NA,NA,NA,NA,NA
26,FALSE,NA,NA,NA,NA,NA,NA
27,FALSE,NA,NA,NA,NA,NA,NA
28,FALSE,NA,NA,NA,NA,NA,NA
29,FALSE,NA,NA,NA,NA,NA,NA
30,FALSE,NA,NA,NA,NA,NA,NA
31,FALSE,NA,NA,NA,NA,NA,NA
32,FALSE,NA,NA,NA,NA,NA,NA
33,FALSE,NA,NA,NA,NA,NA,NA
34,FALSE,NA,NA,NA,NA,NA,NA
35,FALSE,NA,NA,NA,NA,NA,NA
36,FALSE,NA,NA,NA,NA,NA,NA
37,FALSE,NA,NA,NA,NA,NA,NA
38,FALSE,NA,NA,NA,NA,NA,NA
39,FALSE,NA,NA,NA,NA,NA,NA
40,TRUE,NA,NA,NA,NA,NA,NA
41,TRUE,NA,NA,NA,NA,NA,NA
42,TRUE,NA,NA,NA,NA,NA,NA
43,TRUE,NA,NA,NA,NA,NA,NA
44,TRUE,NA,NA,NA,NA,NA,NA
45,TRUE,NA,NA,NA,NA,NA,NA
46,TRUE,NA,NA,NA,NA,NA,NA
47,TRUE,NA,NA,NA,NA,NA,NA
48,TRUE,NA,NA,NA,NA,NA,NA
49,TRUE,NA,NA,NA,NA,NA,NA
50,TRUE,NA,NA,NA,NA,NA,NA
51,TRUE,NA,NA,NA,NA,NA,NA
52,TRUE,NA,NA,NA,NA,NA,NA
53,TRUE,NA,NA,NA,NA,NA,NA
54,TRUE,NA,NA,NA,NA,NA,NA
55,TRUE,NA,NA,NA,NA,NA,NA
56,FALSE,NA,NA,NA,NA,NA,NA
57,FALSE,NA,NA,NA,NA,NA,NA
58,FALSE,NA,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA,NA
61,FALSE,NA,NA,NA,NA,NA,NA
62,FALSE,NA,NA,NA,NA,NA,NA
63,FALSE,NA,NA,NA,NA,NA,NA
64,FALSE,NA,NA,NA,NA,NA,NA
65,FALSE,NA,NA,NA,NA,NA,NA
66,TRUE,NA,NA,NA,NA,NA,NA
67,TRUE,NA,NA,NA,NA,NA,NA
68,TRUE,NA,NA,NA,NA,NA,NA
69,TRUE,NA,NA,NA,NA,NA,NA
70,TRUE,NA,NA,NA,NA,NA,NA
71,TRUE,NA,NA,NA,NA,NA,NA
72,TRUE,NA,NA,NA,NA,NA,NA
73,TRUE,NA,NA,NA,NA,NA,NA
74,TRUE,NA,NA,NA,NA,NA,NA
75,TRUE,NA,NA,NA,NA,NA,NA
76,FALSE,NA,NA,NA,NA,NA,NA
77,FALSE,NA,NA,NA,NA,NA,NA
78,FALSE,NA,NA,NA,NA,NA,NA
79,FALSE,NA,NA,NA,NA,NA,NA
